customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
5845-BZZIB,Male,0,Yes,Yes,0.4861111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.01840796019900498,0.07545366617538689
7310-EGVHZ,Male,0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0.019402985074626844,0.0023259027266028004
4826-TZEVA,Female,0,No,No,0.5555555555555556,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),0.5626865671641791,0.34217253131908626
4080-IIARD,Female,0,Yes,No,0.18055555555555555,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.5766169154228856,0.11300778371407519
7672-VFMXZ,Male,0,Yes,No,0.7916666666666666,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,0.372636815920398,0.36518975681650706
9940-RHLFB,Female,0,No,No,0.013888888888888888,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,0.5676616915422885,0.008670320560058955
9117-SHLZX,Male,0,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.27313432835820894,0.005262067059690495
7253-UVNDW,Female,0,No,No,0.6388888888888888,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),0.3592039800995025,0.2832707719233604
9898-KZQDZ,Female,1,Yes,Yes,0.5555555555555556,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.7592039800995024,0.4191748802505527
8559-CIZFV,Male,0,Yes,Yes,0.29166666666666663,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,0.5895522388059701,0.187108511422255
2506-CLAKW,Female,0,No,No,0.08333333333333333,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0.7950248756218906,0.06533829218865145
8591-TKMZH,Male,0,Yes,Yes,0.8194444444444444,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,0.9238805970149252,0.7547899778924098
4925-LMHOK,Male,0,No,No,0.20833333333333331,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),0.4014925373134328,0.10820053426676494
4971-PUYQO,Female,0,No,No,0.375,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,0.7592039800995024,0.31372052321296984
0186-CAERR,Male,0,No,No,0.986111111111111,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),0.9756218905472637,0.9567923268238763
6233-HXJMX,Female,0,No,No,0.625,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.7069651741293532,0.48269965917464996
9367-OIUXP,Male,0,No,No,0.05555555555555555,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.024378109452736302,0.008411247236551216
4588-YBNIB,Female,0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.013432835820895522,0.0022568165070007374
6467-CHFZW,Male,0,Yes,Yes,0.6527777777777778,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8069651741293532,0.5468346997052321
8148-BPLZQ,Male,0,No,No,0.4722222222222222,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.3139303482587064,0.19968220338983053
0557-ASKVU,Female,0,Yes,Yes,0.25,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),0.3597014925373134,0.11020403463522478
3354-OADJP,Female,0,No,No,0.1111111111111111,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),0.35820895522388063,0.0515555913780398
2259-OUUSZ,Male,0,No,No,0.09722222222222221,No,No phone service,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),0.17164179104477612,0.028734110169491532
4919-IKATY,Male,0,Yes,Yes,0.06944444444444445,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.6592039800995024,0.052246453574060436
4328-VUFWD,Female,0,No,No,0.5416666666666666,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Electronic check,0.408457711442786,0.25436970338983056
8681-ICONS,Male,0,Yes,Yes,0.40277777777777773,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0.023880597014925342,0.07540185151068535
2232-DMLXU,Female,0,Yes,No,0.013888888888888888,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,0.36766169154228856,0.006355932203389832
6447-GORXK,Male,0,No,Yes,0.4305555555555555,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),0.06716417910447761,0.09087140751658071
1777-JYQPJ,Male,0,No,No,0.027777777777777776,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0.06019900497512437,0.004427275239498895
6685-GBWJZ,Male,0,Yes,No,0.875,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),0.5228855721393034,0.5122512896094327
3955-JBZZM,Male,0,No,No,0.2777777777777778,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,0.6024875621890546,0.18898535372144437
5197-LQXXH,Female,0,Yes,No,0.986111111111111,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.6472636815920397,0.6787145357406044
5993-JSUWV,Female,0,No,No,0.9166666666666666,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),0.426865671641791,0.4625840549005159
2219-MVUSO,Male,0,No,No,0.1111111111111111,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.2676616915422885,0.050478997789240976
3158-MOERK,Female,0,No,No,0.027777777777777776,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7736318407960199,0.020127118644067802
3594-KADLU,Male,0,Yes,No,0.041666666666666664,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,0.16766169154228855,0.01164102800294768
0932-YIXYU,Female,0,No,No,0.6527777777777778,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.019900497512437804,0.11857498157700812
8348-HFYIV,Male,0,No,No,0.027777777777777776,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.30845771144278605,0.010403233235077377
8687-BAFGU,Male,0,No,No,0.013888888888888888,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,0.554726368159204,0.008520633750921151
7353-YOWFP,Female,0,No,No,0.09722222222222221,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.019900497512437804,0.014870808769344145
6837-HAEVO,Male,0,Yes,Yes,0.9583333333333333,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,0.86318407960199,0.8402899318349301
6734-GMPVK,Male,0,No,No,0.06944444444444445,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,0.8661691542288558,0.06339812085482684
7602-DBTOU,Female,0,Yes,No,0.986111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.013432835820895522,0.16310105011053797
9894-EZEWG,Female,0,No,No,0.013888888888888888,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.5577114427860697,0.008555176860722182
1670-SVOWZ,Female,0,Yes,Yes,0.19444444444444442,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),0.7104477611940299,0.13913388909358881
9142-XMYJH,Female,0,No,No,0.40277777777777773,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),0.010945273631840807,0.06927044952100223
5893-PYOLZ,Male,0,No,No,0.7777777777777777,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.6323383084577114,0.5221133474576272
3319-DWOEP,Male,1,Yes,No,0.08333333333333333,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7711442786069651,0.0660636974944731
9514-JDSKI,Male,1,Yes,No,0.013888888888888888,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,0.218407960199005,0.004628776713338247
7432-FFVAR,Female,0,Yes,Yes,0.6388888888888888,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),0.7233830845771144,0.4878177966101696
4329-YPDDQ,Male,0,No,No,0.2777777777777778,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8950248756218905,0.25374217022844514
2860-RANUS,Female,1,No,No,0.2777777777777778,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.672139303482587,0.19891074060427416
8696-JKZNU,Female,1,No,No,0.5138888888888888,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5771144278606964,0.32718657885040536
1089-XZWHH,Female,0,Yes,Yes,0.3333333333333333,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.014427860696517386,0.05688674465733236
4831-EOBFE,Male,0,Yes,Yes,0.40277777777777773,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),0.7601990049751244,0.3050329310980104
4423-YLHDV,Female,0,Yes,No,0.29166666666666663,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8572139303482588,0.25334492446573326
5449-FIBXJ,Male,0,Yes,Yes,0.2638888888888889,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,0.8462686567164178,0.23174972365512164
8144-DGHXP,Female,0,No,No,0.75,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,0.6203980099502486,0.49511214996315406
6598-RFFVI,Male,0,No,No,0.027777777777777776,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),0.010447761194029848,0.0032585666912306565
3096-JRDSO,Female,1,Yes,No,0.375,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8562189054726367,0.3302033437730288
5862-BRIXZ,Male,0,No,No,0.6388888888888888,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.42288557213930345,0.33315677966101703
1057-FOGLZ,Female,0,No,No,0.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.013930348258706454,0.04510178703021371
9371-BITHB,Female,0,Yes,Yes,0.7222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.015920398009950265,0.12326133014001475
4580-TMHJU,Female,0,Yes,Yes,0.5972222222222222,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,0.3771144278606965,0.28777864775239503
0178-CIIKR,Female,0,No,No,0.041666666666666664,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.01691542288557213,0.0066783345615327935
9348-YVOMK,Male,0,No,No,0.05555555555555555,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.2641791044776119,0.020288319823139278
8417-FMLZI,Male,0,Yes,Yes,0.08333333333333333,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.6497512437810945,0.05498687361827562
6851-WEFYX,Male,1,Yes,No,0.4861111111111111,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8213930348258706,0.3958064664701548
8181-YHCMF,Female,0,Yes,Yes,0.9444444444444444,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),0.41840796019900495,0.47312546057479743
7548-SEPYI,Female,0,No,No,0.06944444444444445,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7761194029850746,0.05900538872512898
0374-IOEGQ,Female,0,No,No,0.041666666666666664,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.26218905472636816,0.014128131908621963
0581-BXBUB,Female,1,No,No,0.05555555555555555,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0.5422885572139303,0.0365869104642594
9350-ZXYJC,Female,0,No,No,0.05555555555555555,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.07014925373134329,0.013466055637435522
8642-GVWRF,Female,0,Yes,No,0.027777777777777776,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),0.6114427860696517,0.01899871039056743
2931-SVLTV,Male,0,Yes,Yes,0.5555555555555556,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.9139303482587063,0.5145887067059691
5183-SNMJQ,Male,0,No,No,0.1388888888888889,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.7646766169154228,0.09961081429624173
7278-CKDNC,Male,1,No,No,0.3333333333333333,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.6194029850746269,0.2404718588798821
8024-XNAFQ,Female,1,No,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),0.8870646766169153,0.8922197402358144
5480-TBGPH,Female,0,Yes,No,0.3333333333333333,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.8064676616915423,0.27995463338246135
7301-ABVAD,Female,0,No,No,1.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),0.6800995024875621,0.7312200626381725
4678-DVQEO,Female,0,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,0.33781094527363187,0.006010501105379515
9415-DPEWS,Female,0,No,No,0.25,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.6975124378109452,0.18875506632277084
3748-FVMZZ,Male,0,No,No,0.05555555555555555,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,0.21691542288557208,0.01870509395725866
5281-BUZGT,Male,1,No,No,0.5,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.7223880597014924,0.3669284266764923
5879-SESNB,Female,0,No,No,0.15277777777777776,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.5671641791044776,0.10232244841562271
1820-TQVEV,Male,0,No,No,0.013888888888888888,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5104477611940298,0.008008244288872514
9003-CPATH,Male,0,No,No,0.5833333333333333,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,0.6134328358208956,0.38151713338246135
1268-ASBGA,Female,1,Yes,No,0.2222222222222222,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.6676616915422885,0.15833985814296245
6655-LHBYW,Male,0,No,No,0.6944444444444444,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),0.9562189054726368,0.6668086772291821
9227-LUNBG,Female,0,No,No,0.013888888888888888,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.06318407960199005,0.002832535003684599
9418-RUKPH,Female,0,Yes,Yes,0.5277777777777778,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.01691542288557213,0.08709469417833457
0537-QYZZN,Male,1,Yes,Yes,0.3333333333333333,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.6129353233830845,0.21390820744288874
8734-FNWVH,Male,0,Yes,Yes,0.4305555555555555,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),0.41243781094527365,0.21019482313927784
4801-KFYKL,Male,0,No,Yes,0.1111111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0.011940298507462671,0.01833087693441415
8327-LZKAS,Female,1,Yes,No,0.5972222222222222,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,0.8885572139303483,0.5220500184229919
4188-PCPIG,Female,0,Yes,No,0.7916666666666666,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.5184079601990049,0.47492745946941783
1843-TLSGD,Female,0,Yes,Yes,0.18055555555555555,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.025870646766169153,0.03135938651436994
6906-MPARY,Male,0,No,No,0.5555555555555556,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),0.7099502487562188,0.40163849484156233
6082-OQFBA,Male,0,Yes,Yes,0.3194444444444444,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.013930348258706454,0.05030628224023582
3544-FBCAS,Female,0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),0.6502487562189054,0.6861758474576273
8034-RYTVV,Female,0,No,No,0.7638888888888888,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),0.6567164179104478,0.5284923084008845
7130-YXBRO,Male,0,Yes,No,0.6666666666666666,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.927363184079602,0.6120002763448785
1157-BQCUW,Male,0,No,No,0.013888888888888888,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.564179104477612,0.008630020265291085
9445-SZLCH,Female,0,Yes,Yes,0.5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.7870646766169154,0.39815539793662497
1399-UBQIU,Male,0,No,No,0.15277777777777776,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.508457711442786,0.08201109985261608
4912-PIGUY,Female,0,No,No,0.013888888888888888,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.6601990049751243,0.009741156963890937
