customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
6827-IEAUQ,Female,0,Yes,Yes,0.375,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,0.47661691542288565,0.21583110722181287,No
7310-EGVHZ,Male,0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0.019402985074626844,0.0023259027266028004,No
3413-BMNZE,Male,1,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),0.26865671641791045,0.005210252394988947,No
6234-RAAPL,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),0.8124378109452737,0.8349875644804717,No
6047-YHPVI,Male,0,No,No,0.06944444444444445,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5119402985074627,0.03648903831982314,Yes
6572-ADKRS,Female,0,No,No,0.6388888888888888,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.5626865671641791,0.4085643883566692,No
5380-WJKOV,Male,0,No,No,0.4722222222222222,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8766169154228854,0.4086737748710391,Yes
8168-UQWWF,Female,0,No,No,0.15277777777777776,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.7920398009950248,0.1272798452468681,Yes
8865-TNMNX,Male,0,Yes,Yes,0.1388888888888889,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,0.3114427860696517,0.05477385777450258,No
9489-DEDVP,Female,0,Yes,Yes,0.9722222222222222,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),0.5069651741293533,0.5610204034635226,No
9867-JCZSP,Female,0,Yes,Yes,0.2361111111111111,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.02487562189054726,0.048158852247605015,No
4671-VJLCL,Female,0,No,No,0.875,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.6129353233830845,0.5597653371407517,No
4080-IIARD,Female,0,Yes,No,0.18055555555555555,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.5766169154228856,0.11300778371407519,No
3714-NTNFO,Female,0,No,No,0.6805555555555555,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6592039800995024,0.44983189019896835,No
5948-UJZLF,Male,0,No,No,0.027777777777777776,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,0.30845771144278605,0.011168938835666914,No
7760-OYPDY,Female,0,No,No,0.027777777777777776,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.6208955223880598,0.01659796425939573,Yes
7639-LIAYI,Male,0,No,No,0.7222222222222222,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.6119402985074627,0.48565309506263826,No
2954-PIBKO,Female,0,Yes,Yes,0.9583333333333333,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),0.4567164179104478,0.4898328113485631,No
8012-SOUDQ,Female,1,No,No,0.5972222222222222,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.7164179104477612,0.4420078758290347,No
9420-LOJKX,Female,0,No,No,0.20833333333333331,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.8044776119402984,0.16424097273397203,Yes
6575-SUVOI,Female,1,Yes,No,0.3472222222222222,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0.5099502487562189,0.201806604642594,No
7495-OOKFY,Female,1,Yes,No,0.1111111111111111,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.6208955223880598,0.0729205047899779,Yes
4667-QONEA,Female,1,Yes,Yes,0.8333333333333333,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),0.56318407960199,0.5131206245394253,No
1658-BYGOY,Male,1,No,No,0.25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7681592039800995,0.2017950902726603,Yes
8769-KKTPH,Female,0,Yes,Yes,0.875,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),0.8099502487562189,0.7266949152542374,No
5067-XJQFU,Male,1,Yes,Yes,0.9166666666666666,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,0.8975124378109453,0.8147971168017688,No
3957-SQXML,Female,0,Yes,Yes,0.4722222222222222,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.06666666666666665,0.10297301031687547,No
5954-BDFSG,Female,0,No,No,1.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.8880597014925372,0.9043040714812086,No
0434-CSFON,Female,0,Yes,No,0.6527777777777778,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.818407960199005,0.541992907148121,No
1215-FIGMP,Male,0,No,No,0.8333333333333333,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.7129353233830846,0.6276137619749448,No
0526-SXDJP,Male,0,Yes,No,1.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),0.2373134328358209,0.3410556374355196,No
0557-ASKVU,Female,0,Yes,Yes,0.25,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),0.3597014925373134,0.11020403463522478,No
5698-BQJOH,Female,0,No,No,0.125,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.7577114427860697,0.09870693625644807,Yes
5122-CYFXA,Female,0,No,No,0.041666666666666664,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.5676616915422885,0.02810657700810612,No
8627-ZYGSZ,Male,0,Yes,No,0.6527777777777778,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,0.6034825870646766,0.42031480287398676,No
3410-YOQBQ,Female,0,No,No,0.4305555555555555,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,0.6064676616915423,0.28753684598378776,No
3170-NMYVV,Female,0,Yes,Yes,0.6944444444444444,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.018905472636815884,0.10718726971260134,No
7410-OIEDU,Male,0,No,No,0.1388888888888889,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0.6129353233830845,0.1021727616064849,No
2273-QCKXA,Male,0,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,0.30646766169154227,0.005647798452468681,No
0731-EBJQB,Female,0,Yes,Yes,0.7222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,0.021393034825870627,0.12558147568165073,No
1891-QRQSA,Male,1,Yes,Yes,0.8888888888888888,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.9288557213930347,0.8174051215917466,No
8028-PNXHQ,Male,0,Yes,Yes,0.861111111111111,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.05970149253731341,0.16403371407516582,No
5630-AHZIL,Female,0,No,Yes,0.041666666666666664,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0.46019900497512434,0.02042649226234341,No
2673-CXQEU,Female,1,No,No,0.7777777777777777,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,0.917910447761194,0.7069247420781136,No
6416-JNVRK,Female,0,No,No,0.6388888888888888,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),0.37213930348258706,0.3096041359616802,No
5590-ZSKRV,Female,0,Yes,Yes,0.1111111111111111,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,0.3621890547263681,0.055528049005158446,No
0191-ZHSKZ,Male,1,No,No,0.41666666666666663,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.5621890547263682,0.2431028924097274,No
3887-PBQAO,Female,0,Yes,Yes,0.625,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),0.07611940298507458,0.1400838246131172,No
5919-TMRGD,Female,0,No,Yes,0.013888888888888888,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.607960199004975,0.009136652542372881,Yes
8108-UXRQN,Female,0,Yes,Yes,0.15277777777777776,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.32139303482587056,0.06509649042004423,No
9191-MYQKX,Female,0,Yes,No,0.09722222222222221,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.5661691542288557,0.05721490420044216,Yes
9919-YLNNG,Female,0,No,No,0.5833333333333333,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8512437810945274,0.49828435887988215,No
0318-ZOPWS,Female,0,Yes,No,0.6805555555555555,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.018905472636815884,0.11207511974944732,No
4445-ZJNMU,Male,0,No,No,0.125,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.8064676616915423,0.10578827376565955,No
4808-YNLEU,Female,0,Yes,No,0.4861111111111111,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),0.43681592039800987,0.25509510869565216,No
1862-QRWPE,Female,0,Yes,Yes,0.6666666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.023880597014925342,0.12170689019896833,No
2796-NNUFI,Female,0,Yes,Yes,0.6388888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.01691542288557213,0.10674972365512161,No
3016-KSVCP,Male,0,Yes,No,0.40277777777777773,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,0.154228855721393,0.11620877855563745,No
4767-HZZHQ,Male,0,Yes,Yes,0.41666666666666663,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),0.6348258706467661,0.2959423360353722,No
2424-WVHPL,Male,1,No,No,0.013888888888888888,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,0.5616915422885572,0.008601234340456891,No
7233-PAHHL,Male,0,Yes,Yes,0.9166666666666666,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,0.654228855721393,0.6579598839351511,No
6067-NGCEU,Female,0,No,No,0.9027777777777777,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.9233830845771144,0.8183262711864407,No
9848-JQJTX,Male,0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.8223880597014926,0.8588626105379515,No
8637-XJIVR,Female,0,No,No,0.16666666666666666,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.6039800995024875,0.1067785095799558,Yes
9803-FTJCG,Male,0,Yes,Yes,0.986111111111111,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),0.4835820895522387,0.5467828850405306,No
0278-YXOOG,Male,0,No,No,0.06944444444444445,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.027860696517412936,0.013109110169491527,Yes
3212-KXOCR,Male,0,No,No,0.7222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.027363184079601977,0.1274871039056743,No
4598-XLKNJ,Female,1,Yes,No,0.3472222222222222,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7985074626865671,0.289528831982314,Yes
6380-ARCEH,Male,0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.019402985074626844,0.0023259027266028004,No
3679-XASPY,Female,0,Yes,Yes,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0.011940298507462671,0.002239544952100221,No
7123-WQUHX,Male,0,No,No,0.5277777777777778,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),0.763681592039801,0.4151621223286662,No
5386-THSLQ,Female,1,Yes,No,0.9166666666666666,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),0.2716417910447761,0.34856876381724394,No
3192-NQECA,Male,0,Yes,No,0.9444444444444444,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.9129353233830845,0.8764565677966103,Yes
6180-YBIQI,Male,0,No,No,0.06944444444444445,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0.06019900497512437,0.011537398673544585,No
6728-DKUCO,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,0.854726368159204,0.840900193441415,No
9750-BOOHV,Female,0,No,No,0.4444444444444444,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,0.11840796019900496,0.10681305268975683,No
8597-CWYHH,Male,0,No,No,0.5972222222222222,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,0.7572139303482587,0.45151298820928526,No
2848-YXSMW,Male,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.011442786069651711,0.15696964812085484,No
0486-HECZI,Male,0,Yes,No,0.7638888888888888,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.7810945273631841,0.6032263264554164,Yes
4549-ZDQYY,Female,0,No,No,0.7222222222222222,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),0.3950248756218906,0.35029591930729553,No
5712-AHQNN,Female,0,No,No,0.5972222222222222,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.7303482587064677,0.45528970154753134,No
4846-WHAFZ,Female,1,Yes,No,0.5138888888888888,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5796019900497512,0.33024940125276353,Yes
5256-SKJGO,Female,0,Yes,Yes,0.8888888888888888,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,0.36169154228855727,0.39419445467944,No
3071-VBYPO,Male,0,Yes,Yes,0.041666666666666664,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,0.7124378109452736,0.02860169491525424,No
9560-BBZXK,Female,0,No,No,0.5,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),0.127363184079602,0.1296921057479735,No
5299-RULOA,Female,0,Yes,Yes,0.1388888888888889,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8159203980099502,0.12258773949889465,Yes
8402-OOOHJ,Female,0,No,No,0.5694444444444444,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.023880597014925342,0.09616226050110539,No
9445-ZUEQE,Male,0,Yes,Yes,0.375,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),0.6661691542288557,0.24774318349299929,No
1091-SOZGA,Female,0,Yes,Yes,0.7777777777777777,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),0.8114427860696517,0.6350693165070008,No
2928-HLDBA,Female,0,No,No,0.08333333333333333,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.024378109452736302,0.012982452100221078,No
0404-SWRVG,Male,0,No,No,0.041666666666666664,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5587064676616916,0.026431236182756085,Yes
6497-TILVL,Female,0,Yes,Yes,0.09722222222222221,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0.32288557213930347,0.04034059506263818,No
7219-TLZHO,Female,0,Yes,Yes,0.05555555555555555,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.025870646766169153,0.007242538688282978,No
4622-YNKIJ,Male,0,No,No,0.4583333333333333,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,0.7034825870646766,0.3486148212969787,No
4412-YLTKF,Female,1,No,No,0.375,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.5950248756218905,0.24588936993367727,Yes
6734-PSBAW,Male,0,Yes,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.0527363184079602,0.19850198047162862,No
3930-ZGWVE,Male,0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.014925373134328346,0.0022740880619012533,No
2639-UGMAZ,Male,1,No,No,0.986111111111111,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,0.3800995024875622,0.4588879421518055,No
2876-GZYZC,Female,0,No,No,0.18055555555555555,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6736318407960199,0.13997443809874727,No
6207-WIOLX,Female,0,Yes,Yes,0.3472222222222222,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.4014925373134328,0.1730206798084009,Yes
8587-XYZSF,Male,0,No,No,0.9305555555555555,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),0.32139303482587056,0.3753799742078114,No
3091-FYHKI,Male,0,No,No,0.013888888888888888,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.17114427860696518,0.004081844141488579,Yes
2372-HWUHI,Male,0,No,No,0.027777777777777776,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.25970149253731345,0.00935542557111275,Yes
7799-LGRDP,Female,0,No,No,0.5972222222222222,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.07412935323383085,0.13681374355195286,No
7850-VWJUU,Female,0,No,No,0.3194444444444444,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.5646766169154228,0.20478306927044954,No
3774-VBNXY,Female,0,Yes,Yes,0.8888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.019402985074626844,0.14712486182756082,No
6217-KDYWC,Male,0,No,Yes,0.7916666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.013432835820895522,0.1347814572586588,No
0390-DCFDQ,Female,1,Yes,No,0.013888888888888888,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.5194029850746269,0.00811187361827561,Yes
3146-MSEGF,Female,1,Yes,Yes,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.6945273631840796,0.7398731116433309,No
4080-OGPJL,Female,0,No,No,0.1111111111111111,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,0.5263681592039802,0.06490074613117171,Yes
